step	accuracy
804	0.9375
805	0.71875
806	0.9375
807	0.84375
808	0.875
809	0.84375
810	0.875
811	0.9375
812	0.9375
813	0.9375
814	0.875
815	0.875
816	0.875
817	0.90625
818	0.9375
819	0.8125
820	0.9375
821	0.75
822	0.875
823	0.90625
824	0.9375
825	0.96875
826	1.0
827	0.96875
828	0.875
829	0.625
830	0.9375
831	0.9375
832	0.8125
833	0.9375
834	0.90625
835	0.96875
836	0.8125
837	0.84375
838	0.875
839	0.6875
840	0.9375
841	0.875
842	0.90625
843	0.78125
844	0.9375
845	0.9375
846	0.90625
847	0.90625
848	0.90625
849	0.9375
850	1.0
851	0.875
852	0.8125
853	0.9375
854	0.96875
855	0.8125
856	0.84375
857	0.9375
858	0.875
859	0.84375
860	0.90625
861	0.9375
862	0.8125
863	0.6000000238418579
864	0.6875
865	0.8125
866	0.90625
867	0.90625
868	0.9375
869	0.90625
870	1.0
871	0.875
872	1.0
873	1.0
874	0.9375
875	0.84375
876	0.75
877	0.8125
878	0.8125
879	0.8125
880	0.875
881	0.78125
882	0.96875
883	0.78125
884	0.84375
885	1.0
886	0.875
887	0.90625
888	0.84375
889	0.96875
890	0.96875
891	0.90625
892	0.84375
893	0.8125
894	0.875
895	0.96875
896	0.96875
897	0.71875
898	0.8125
899	0.8125
900	0.875
901	0.9375
902	0.65625
903	0.9375
904	0.9375
905	0.875
906	0.8125
907	0.84375
908	0.84375
909	0.875
910	0.9375
911	0.84375
912	0.8125
913	0.9375
914	0.90625
915	0.96875
916	0.90625
917	0.90625
918	0.96875
919	0.8125
920	0.96875
921	0.96875
922	0.875
923	0.96875
924	0.96875
925	0.90625
926	0.96875
927	0.90625
928	0.8125
929	0.65625
930	0.6875
931	0.84375
932	0.84375
933	0.875
934	0.78125
935	0.8666667342185974
936	0.75
937	0.9375
938	0.96875
939	0.96875
940	1.0
941	0.96875
942	0.96875
943	1.0
944	0.78125
945	0.9375
946	0.90625
947	0.96875
948	0.8125
949	0.90625
950	0.8125
951	0.875
952	0.90625
953	0.90625
954	0.96875
955	0.84375
956	0.75
957	0.75
958	0.9375
959	0.8125
960	0.9375
961	0.8125
962	0.75
963	0.84375
964	0.75
965	0.8125
966	0.78125
967	0.875
968	0.875
969	0.8125
970	0.8125
971	0.8125
972	0.96875
973	0.90625
974	0.78125
975	0.90625
976	0.9375
977	0.65625
978	0.9375
979	0.90625
980	0.9375
981	0.9375
982	0.9375
983	0.9375
984	1.0
985	1.0
986	0.9375
987	0.90625
988	0.96875
989	0.875
990	0.875
991	0.90625
992	0.90625
993	0.84375
994	0.9375
995	0.96875
996	0.90625
997	0.96875
998	0.90625
999	0.8125
1000	0.90625
1001	0.78125
1002	0.84375
1003	0.96875
1004	0.90625
1005	1.0
1006	0.875
1007	0.9333333969116211
1008	0.9375
1009	0.9375
1010	0.875
1011	1.0
1012	0.96875
1013	0.9375
1014	1.0
1015	0.84375
1016	1.0
1017	0.96875
1018	0.71875
1019	0.90625
1020	1.0
1021	0.96875
1022	0.96875
1023	0.90625
1024	0.71875
1025	0.90625
1026	0.96875
1027	0.6875
1028	0.84375
1029	0.78125
1030	0.90625
1031	0.9375
1032	0.875
1033	0.96875
1034	0.90625
1035	0.875
1036	0.9375
1037	0.9375
1038	0.9375
1039	0.96875
1040	0.90625
1041	0.8125
1042	0.90625
1043	0.9375
1044	0.90625
1045	0.96875
1046	0.96875
1047	0.9375
1048	0.96875
1049	0.84375
1050	0.875
1051	0.875
1052	0.90625
1053	0.90625
1054	0.9375
1055	0.875
1056	0.78125
1057	1.0
1058	0.875
1059	0.9375
1060	0.875
1061	0.96875
1062	0.96875
1063	0.90625
1064	0.84375
1065	0.875
1066	0.90625
1067	0.84375
1068	0.9375
1069	0.875
1070	0.875
1071	0.84375
1072	0.9375
1073	0.875
1074	0.9375
1075	0.96875
1076	0.96875
1077	0.96875
1078	0.90625
1079	1.0
1080	0.9375
1081	0.84375
1082	0.9375
1083	0.96875
